formula,spacegroup,ref_gap,mp_pbe_gap,c_lo,gap_lo,c_hi,gap_hi,dGap_dc,c_star,fit_r2,n_species,natoms,volume_per_atom,density,mean_electroneg,electroneg_spread,mean_Z,max_Z,mean_row,valence_e_per_atom,grad_ratio,c_selfconsistent,pbe_gap,band_center,qc,qc_pass
Si,Fd-3m,1.12,0.6102999999999996,1.2,1.5009,1.7,3.6337,4.2656,1.1107,1.0000,1,2,20.075860405879812,2.323042151724428 g cm^-3,1.9,0.0,14.0,14.0,3.0,14.0,2.090841909865288,1.0640607696787505,0.6102999999999996,-3.4669,clean,1
Ge,Fd-3m,0.67,0.0,1.2,0.7536,1.7,2.4076,3.3081,1.1747,1.0000,1,2,22.84410461645538,5.280205104249795 g cm^-3,2.01,0.0,32.0,32.0,4.0,32.0,2.5740462386589105,1.1819451401491419,0.0,-3.4398,clean,1
C,Fd-3m,5.47,4.1144,1.2,4.8045,1.7,6.3546,3.1004,1.4147,1.0000,1,2,5.615621666156983,3.5515634337349042 g cm^-3,2.55,0.0,6.0,6.0,2.0,6.0,2.346636575988244,1.127984950051444,4.1144,-6.8333,clean,1
SiC,F-43m,2.36,1.3709999999999996,1.2,2.3119,1.7,4.0377,3.4517,1.2139,1.0000,2,2,10.347494017192611,3.2172672152107777 g cm^-3,2.2249999999999996,0.6499999999999999,10.0,14.0,2.5,10.0,2.262327152195816,1.10731907278854,1.3709999999999996,-3.6776,clean,1
BN,F-43m,6.4,4.451300000000001,1.2,5.4736,1.7,7.3363,3.7255,1.4487,1.0000,2,2,5.864439774394859,3.5136144268282887 g cm^-3,2.54,1.0,6.0,7.0,2.0,6.0,2.4796327495019774,1.1598442190638605,4.451300000000001,-5.0906,clean,1
BP,F-43m,2.1,1.2435999999999998,1.2,2.1465,1.7,4.0940,3.8950,1.1881,1.0000,2,2,11.551345408522451,3.003339751159701 g cm^-3,2.115,0.1499999999999999,10.0,15.0,2.5,10.0,2.1308068941563025,1.0742961659928714,1.2435999999999998,-4.849,clean,1
BAs,F-43m,1.46,1.2014999999999993,1.2,1.7523,1.7,3.1173,2.7299,1.0929,1.0000,2,2,13.634323494365058,5.220733234033511 g cm^-3,2.1100000000000003,0.14000000000000012,19.0,33.0,3.0,19.0,2.0588273037850797,1.0557907630698553,1.2014999999999993,-4.7515,clean,1
AlP,F-43m,2.45,1.6292999999999997,1.2,2.5320,1.7,4.6067,4.1494,1.1802,1.0000,2,2,20.491728962209628,2.348192310671406 g cm^-3,1.9,0.5799999999999998,14.0,15.0,3.0,14.0,2.0406622314102227,1.051069757534397,1.6292999999999997,-2.6599,clean,1
AlAs,F-43m,2.16,1.5007000000000001,1.2,2.2399,1.7,3.9673,3.4548,1.1769,1.0000,2,2,22.930514411108913,3.689715364005898 g cm^-3,1.895,0.5700000000000001,23.0,33.0,3.5,23.0,2.2335836417221433,1.100185708778682,1.5007000000000001,-2.7218,clean,1
AlSb,F-43m,1.62,1.2262000000000004,1.2,1.8530,1.7,3.2215,2.7371,1.1149,1.0000,2,2,29.34435024519385,4.2084955640131305 g cm^-3,1.83,0.4399999999999997,32.0,51.0,4.0,32.0,1.9150948011241224,1.0178437525918604,1.2262000000000004,-2.726,clean,1
